"PLU","CATEGORY","COMMODITY","VARIETY","SIZE","MEASUREMENTS: NORTH AMERICA","MEASUREMENTS: REST OF WORLD","RESTRICTIONS / NOTES","BOTANICAL NAME","AKA","NOTES","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE","","",""
"3050","Vegetables","CABBAGE","Dutch White/Winter White","All Sizes","","","","Brassica oleracea","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3051","Vegetables","CABBAGE","Spring Cabbage/Spring Greens","All Sizes","","","","Brassica oleracea","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3052","Vegetables","GARLIC","String","All Sizes","","","","Allium sativum","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3053","Vegetables","PARSNIP","Baby","All Sizes","","","","Pastinaca sativa","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3054","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Red/Lamuyo Red)","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3055","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Green/Lamuyo Green)","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3056","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Yellow/Lamuyo Yellow)","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3057","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Orange/Lamuyo Orange)","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3058","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis White/Lamuyo White)","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3059","Vegetables","SQUASH","Crown Prince","All Sizes","","","","C.maxima","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3060","Vegetables","SQUASH","Vegetable Marrow","All Sizes","","","","C.pepo","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3061","Vegetables","TOMATOES","Beef/Beefsteak","All Sizes","","","","Lycopersicon esculenta","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3062","Herbs","BAY LEAVES","","All Sizes ","","","","Laurus nobilis","","","2018-10-08 15:09:44","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3062-bay-leaf-02_1614620362.jpg","","","",""
"3063","Herbs","FENNEL LEAVES","","All Sizes","","","","Foeniculum vulgare","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3064","Herbs","ALOE VERA LEAVES","","All Sizes","","","","Aloe Vera","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3064-aloe-vera_1630597145.jpg","","","",""
"3065","Fruits","APPLES","Cameo"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","","2021-02-26 14:42:42","1999-12-31 00:00:00"," ","","","","",""
"3066","Fruits","APPLES","Cameo"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","","2021-02-26 14:44:09","1999-12-31 00:00:00"," ","","","","",""
